BatteryId,Policy,Family,Candidate,SelectedFamily,Intercept,Coefficient,EstimatedT80,T80Status,ExtrapolationMultiple,time,loss,late_slope_loss
41,4_8C_80PER_4_8C_NEWSTRUCTURE,linear,linear_w40_s1,True,0.956950406482172,-3.598016305346022e-05,4362.137165664621,finite_extrapolation,29.080914437764136,11.1030957823375,0.0032610698549709,3.845856581597258e-05
41,4_8C_80PER_4_8C_NEWSTRUCTURE,power,power_w60_s1.25,False,0.9558235991018612,-8.112531228139445e-06,2671.6617926053977,finite_extrapolation,17.81107861736932,11.1030957823375,0.0032610698549709,3.845856581597258e-05
42,5C_67PER_4C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.000718093070201,-0.0198001095601148,2410.2927720668013,finite_extrapolation,16.06861848044534,10.1268713745261,0.002020445005907,2.623497816892964e-05
42,5C_67PER_4C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0011371967369285,-2.42527553074982e-05,8293.375090241521,finite_extrapolation,55.289167268276806,10.1268713745261,0.002020445005907,2.623497816892964e-05
42,5C_67PER_4C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.0003421534525632,-5.400362734276207e-06,4523.551350835259,finite_extrapolation,30.15700900556839,10.1268713745261,0.002020445005907,2.623497816892964e-05
43,5_3C_54PER_4C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.0012767601436765,-0.0303549410464999,2032.1893089454704,finite_extrapolation,13.547928726303134,10.1135283477634,0.001948847523483,3.288619083879463e-05
43,5_3C_54PER_4C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0017351650356805,-3.58646182610219e-05,5624.90763368667,finite_extrapolation,37.4993842245778,10.1135283477634,0.001948847523483,3.288619083879463e-05
43,5_3C_54PER_4C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.0007007832571273,-8.280040904234185e-06,3218.201760644436,finite_extrapolation,21.45467840429624,10.1135283477634,0.001948847523483,3.288619083879463e-05
44,5_6C_19PER_4_6C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.0015236729980912,-0.0320814712416997,1985.353628690352,finite_extrapolation,13.23569085793568,10.275761475891,0.0024328811252729,4.711340826176755e-05
44,5_6C_19PER_4_6C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0022079474481091,-3.942057011451515e-05,5129.503375032457,finite_extrapolation,34.19668916688305,10.275761475891,0.0024328811252729,4.711340826176755e-05
44,5_6C_19PER_4_6C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.0009146373411382,-8.750248766779533e-06,3081.7183345548447,finite_extrapolation,20.544788897032294,10.275761475891,0.0024328811252729,4.711340826176755e-05
45,5_6C_36PER_4_3C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.0014017068109655,-0.0194527371066183,2429.5160742822486,finite_extrapolation,16.196773828548324,10.2448038980892,0.000175760028974,3.0929067460195336e-05
45,5_6C_36PER_4_3C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.002196903327011,-2.6676706492165944e-05,7579.530231229612,finite_extrapolation,50.53020154153074,10.2448038980892,0.000175760028974,3.0929067460195336e-05
45,5_6C_36PER_4_3C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.00103345881135,-5.308355667299121e-06,4598.822685806714,finite_extrapolation,30.65881790537809,10.2448038980892,0.000175760028974,3.0929067460195336e-05
46,4_8C_80PER_4_8C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.001069579435148,-0.0173094821710453,2534.9779137851883,finite_extrapolation,16.89985275856792,11.1688661019703,0.0008944580689299,2.490542577870059e-05
46,4_8C_80PER_4_8C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.002281554987272,-2.758607439610349e-05,7332.741588482192,finite_extrapolation,48.88494392321461,11.1688661019703,0.0008944580689299,2.490542577870059e-05
46,4_8C_80PER_4_8C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.0007437546224192,-4.72811418692852e-06,5039.219419872911,finite_extrapolation,33.594796132486074,11.1688661019703,0.0008944580689299,2.490542577870059e-05
47,5C_67PER_4C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.001026568092921,-0.0172339586067068,2538.807650881572,finite_extrapolation,16.925384339210478,10.1793261977671,0.0010948703679649,3.3534749537078286e-05
47,5C_67PER_4C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0013441620425354,-2.081286507491778e-05,9674.024278626654,finite_extrapolation,64.49349519084436,10.1793261977671,0.0010948703679649,3.3534749537078286e-05
47,5C_67PER_4C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.000698672228491,-4.698764759162457e-06,5063.474616213515,finite_extrapolation,33.756497441423434,10.1793261977671,0.0010948703679649,3.3534749537078286e-05
48,5_3C_54PER_4C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.0007241609328756,-0.0157507672297301,2620.5856583991044,finite_extrapolation,17.47057105599403,10.1638524955626,-0.0002413269224899,2.3947353032490377e-05
48,5_3C_54PER_4C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0015137949376394,-2.2712591428739565e-05,8872.33830493918,finite_extrapolation,59.14892203292786,10.1638524955626,-0.0002413269224899,2.3947353032490377e-05
48,5_3C_54PER_4C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.0004262666615007,-4.298828500338184e-06,5431.047660174223,finite_extrapolation,36.206984401161485,10.1638524955626,-0.0002413269224899,2.3947353032490377e-05
49,4_8C_80PER_4_8C_NEWSTRUCTURE,exponential,exponential_w60_s0.001,False,1.000355714272776,-0.0131132078000512,2789.8713067143503,finite_extrapolation,18.59914204476233,11.1468243490742,0.001164361601373,2.866523513536116e-05
49,4_8C_80PER_4_8C_NEWSTRUCTURE,linear,linear_w40_s1,True,1.0015664756314764,-2.3013838620094783e-05,8758.490009375333,finite_extrapolation,58.38993339583556,11.1468243490742,0.001164361601373,2.866523513536116e-05
49,4_8C_80PER_4_8C_NEWSTRUCTURE,power,power_w60_s1.25,False,1.0001086000526247,-3.5812008969723044e-06,6277.542407857396,finite_extrapolation,41.8502827190493,11.1468243490742,0.001164361601373,2.866523513536116e-05
