SensitivityWindow,BatteryId,Policy,AvailableLastCycle,LifetimePrefixCycle,TailWindow,SOH150,SlopeTail,InterceptTail,EstimatedT80,ExtrapolationMultiple,T80Status
30,46,4_8C_80PER_4_8C_NEWSTRUCTURE,200,150,30,0.998234560464902,-2.1032525698098657e-05,1.0013714365133257,9574.286959341725,63.82857972894484,finite_extrapolation
30,47,5C_67PER_4C_NEWSTRUCTURE,200,150,30,0.998257019716137,-1.6836792339113827e-05,1.0007896720027654,11925.648779091225,79.5043251939415,finite_extrapolation
30,48,5_3C_54PER_4C_NEWSTRUCTURE,200,150,30,0.998195091576545,-2.239740293241806e-05,1.0014652988135402,8995.029442540355,59.96686295026904,finite_extrapolation
30,49,4_8C_80PER_4_8C_NEWSTRUCTURE,200,150,30,0.998410102666179,-1.545345754438886e-05,1.0005107274755216,12975.136916743068,86.50091277828712,finite_extrapolation
40,1,3_6C-80PER_3_6C,200,150,40,1.00348000147942,-5.063126357490324e-05,1.0103024928200517,4153.609409904077,27.690729399360517,finite_extrapolation
40,2,3_6C-80PER_3_6C,150,150,40,0.995350591168364,-2.3283430599976557e-05,0.9987835230269415,8537.553011073102,56.91702007382068,finite_extrapolation
40,3,3_6C-80PER_3_6C,200,150,40,0.996237593096295,-1.856093547490214e-05,0.9990028389691129,10721.595322509576,71.47730215006385,finite_extrapolation
40,4,80PER_3_6C,200,150,40,0.977366685512464,-0.00019016191427075486,1.0056696689163864,1081.550265756956,7.210335105046373,finite_extrapolation
40,5,80PER_3_6C,150,150,40,0.996049414338924,-4.3378862305562137e-05,1.0026960623042487,4672.6919870892625,31.151279913928416,finite_extrapolation
40,6,80PER_3_6C,200,150,40,0.996289223474253,-3.358898014633967e-05,1.0012962069522642,5992.924050544601,39.952827003630674,finite_extrapolation
40,7,4_8C_80PER_4_8C,200,150,40,0.994602329866956,-6.867315176229809e-05,1.0051160203091338,2986.844422389588,19.91229614926392,finite_extrapolation
40,8,4_8C_80PER_4_8C,200,150,40,0.989748401481303,-0.0001329418349026392,1.0096741916293117,1577.1874352634584,10.51458290175639,finite_extrapolation
40,9,4_8C_80PER_4_8C,150,150,40,0.988970060126946,-0.0001308221815558567,1.0086747735427448,1595.102382952142,10.634015886347614,finite_extrapolation
40,10,5C_67PER_4C_NEWSTRUCTURE,150,150,40,0.997333230536718,-3.0688986632518925e-05,1.0016443280207665,6570.576292900411,43.80384195266941,finite_extrapolation
40,11,5_3C_54PER_4C_NEWSTRUCTURE,150,150,40,0.996811104366928,-2.9707215997453547e-05,1.0011445085568516,6770.897298962423,45.13931532641615,finite_extrapolation
40,12,5_6C_19PER_4_6C_NEWSTRUCTURE,200,150,40,0.996513777051594,-3.383778926635268e-05,1.0013806114865746,5951.352492369283,39.67568328246189,finite_extrapolation
40,13,5_6C_36PER_4_3C_NEWSTRUCTURE,200,150,40,0.997075645249115,-3.413221570172897e-05,1.0019745589877191,5917.417162504574,39.449447750030494,finite_extrapolation
40,14,5_6C_19PER_4_6C_NEWSTRUCTURE,150,150,40,0.997617145540867,-2.9084989555644506e-05,1.0017770794212952,6937.498775279307,46.24999183519538,finite_extrapolation
40,15,5_6C_36PER_4_3C_NEWSTRUCTURE,200,150,40,0.996160165334701,-4.710092020159434e-05,1.0031310470044938,4312.676825316418,28.751178835442786,finite_extrapolation
